Compound_ID,neg_MAO_1,neg_MAO_2,neg_MAO_3,neg_MAO_4,neg_MAO_5,neg_MAO_6,neg_MHO_1,neg_MHO_2,neg_MHO_3,neg_MHO_4,neg_MHO_5,neg_MHO_6,FC,Pvalue
Com_10046_neg,68175844.7,29783114.13,31223107.59,8489235.073,60420662.12,26217855.15,12040771.87,7503480.089,4935700.052,77699325.96,6414765.662,2476644.371,1.00927988,0.751328549
Com_10058_neg,1451240.8,394818970.3,2036753.765,6549481.313,4156764.097,1597387.066,14799190.48,2104404.49,4537524.505,20373238.5,358683443.4,31146982.77,1.157381315,0.403123129
Com_10089_neg,131446718.3,8335171.953,144843687.9,25074018.69,201238021.4,85285089.05,173271212.4,9030080.258,2629731.627,17462289.42,10644570.01,865225.1335,1.023106092,0.974556612
Com_100926_neg,489700.2375,627956.3281,389453.2684,333115.4802,272769.064,311600.2362,477601.9934,261330.5426,412328.506,422310.8357,702030.4952,378401.6812,1.370000193,0.291390284
Com_10132_neg,1184669.471,1072669.086,750327.1034,1379783.695,587987.29,555017.8488,1329134.962,1902976.916,31979300.71,1098122.339,3903086.987,3969234.459,1.290693731,0.023230298
Com_10145_neg,23180654.94,583646.4632,1173859.023,425176.5799,3735175.145,179980857.7,2377960.913,215769.5561,34766803.25,14241077.78,23623840.93,36171520.68,0.356253288,0.352285466
Com_101486_neg,172458.1173,96958.20264,117629.3395,96639.70864,68140.73681,96888.83218,65648.31798,52738.75892,47680.60295,196066.9477,57966.48136,43534.25825,0.621292019,0.009294999
