Compound_ID,neg_MAO_1,neg_MAO_2,neg_MAO_3,neg_MAO_4,neg_MAO_5,neg_MAO_6,neg_MHO_3,neg_MHO_4,neg_MHO_5,neg_MHO_6,neg_MHO_7,neg_MHO_8,FC,Pvalue
Com_1007_neg,21726513.82,33064690.43,54860231.2,11115466.2,32625182.69,27790659.38,29802311.26,31189770.79,31242639.46,30415008.66,42016134.92,47673222.88,3.273825864,0.058387322
Com_1013_neg,48717077.01,38188518.52,22060899.33,32497353.36,20793687.73,16088240.03,10072981.22,14816642.57,12539953.91,34758199.15,19141542.25,23661113.73,0.732520893,0.460200631
Com_1035_neg,43436133.86,29983631.88,22238962.97,45047761.06,37112499.04,35722149.72,33376805.61,26899925.58,44137363.03,34258134.66,38828176.48,36757954.17,1.866224669,0.18090075
Com_1038_neg,10078492.88,15840664.62,8949619.723,41274814.54,24411923.18,8050492.656,7512087.091,7266004.593,22136412.38,6154650.627,17965208.33,8909210.422,1.423689741,0.237922617
Com_1040_neg,46658966.67,30397269.03,30260174.94,40806198.1,42900010.6,35653346.77,23468358.86,23812039.69,29999932.46,24501957.07,23826826.57,24005033.75,6.019807345,0.852899702
Com_1051_neg,3277529.236,4354065.654,4504976.318,6173709.882,2712786.241,4086174.468,2779852.109,73356834.08,4791668.263,5159331.432,2985229.888,4190243.121,1.140046222,0.418652517
Com_1056_neg,25113936.15,45986934.5,46119215.42,19416179.05,18534576.31,23160790.64,33769554.03,60707433.13,22522166.83,48365900.89,50768210.24,45333243.19,2.693157681,0.03205697
